"id","subdivisionId","name"
"344","598","Gomelskaya Oblastʿ"
"345","598","Gomelʿ"
"346","598","H"
"347","598","Homelskaja Voblastsʿ"
"348","598","Homelskaya Voblastsʿ"
"349","599","Gardinas"
"350","599","Grodnenskaja Oblastʿ"
"351","599","Grodnenskaya Oblastʿ"
"352","599","Grodno"
"353","599","Horadnia"
"354","599","Hrodno"
"355","599","Hrodzenskaja Voblast"
"356","600","Mahilëŭ"
"357","600","Mahilëv"
"358","600","Mahiljov"
"359","600","Mahiljowskaja Voblastsʿ"
"360","600","Mahilyov"
"361","600","Mahilyowskaya Voblastsʿ"
"362","600","Mog"
"363","600","Mogilev"
"364","601","Minskaja Oblastʿ"
"365","601","Minskaya Oblastʿ"
"366","601","Minskaya Voblastsʿ"
"367","602","Vicebskaja Voblastsʿ"
"368","602","Vicebskaya Voblastsʿ"
"369","602","Viciebsk"
"370","602","Vicjebsk"
"371","602","Vitebsk"
"372","602","Vitebsk"
"373","602","Vitebskaja Oblastʿ"
"374","612","Nouveau-Brunswick"
"375","614","Nouvelle-Écosse"
"376","615","Territoires du Nord-Ouest"
"377","619","Québec"
"378","622","Bas-Zaire"
"379","625","Shaba"
"380","631","Haut-Zaire"
"381","631","Orientale"
"382","638","Haut-Mʿbomou"
"383","639","Haut-Sangha"
"384","640","Gribingui"
"385","640","Nana-Grébisi"
"386","641","Kémo Gribingui"
"387","643","Mʿbomou"
"388","644","Ombella-Mʿpoko"
"389","644","Ombelle Mpoko"
"390","647","Mbaeré"
"391","647","Sangha"
"392","650","Bouénza"
"393","654","Cuvette Ouest"
"394","661","Argovie"
"395","663","Appenzell-Ausser Rhoden"
"396","664","Berne"
"397","665","Bâle-Campagne"
"398","666","Bâle-Ville"
"399","666","Basel"
"400","666","Basel-Stadt"
"401","666","Basilea"
"402","666","Basle"
"403","667","Freiburg"
"404","668","Genève"
"405","668","Genf"
"406","668","Ginebra"
"407","668","Ginevra"
"408","669","Glaris"
"409","670","Grigioni"
"410","670","Grisons"
"411","672","Lucerna"
"412","672","Lucerne"
"413","673","Neuenburg"
"414","674","Nidwald"
"415","675","Obwald"
"416","676","Saint Galle"
"417","676","Saint-Gall"
"418","676","Sankt Gallen"
"419","677","Schaffhouse"
"420","678","Soleure"
"421","680","Thurgovie"
"422","681","Tessin"
"423","681","Tessin"
"424","683","Waadt"
"425","684","Vallese"
"426","684","Wallis"
"427","685","Zoug"
"428","686","Zurich"
"429","686","Zürich"
"430","686","Zurigo"
"431","706","Aisén del General Carlos Ibáñez del Campo"
"432","706","Aysén"
"433","709","La Araucanía"
"434","711","Bíobío"
"435","713","General Bernardo O'Higgins"
"436","713","Libertador"
"437","713","Libertador OʿHiggins"
"438","716","Magellantes y la Antártica Chilena"
"439","718","Metropolitana de Santiago"
"440","721","Adamawa"
"441","726","Bénoué"
"442","731","Beijing"
"443","731","Pekín"
"444","735","Inner Mongolia"
"445","735","Nei Monggol"
"446","739","Schanghai"
"447","750","Guangxi Zhuang"
"448","756","Tibet"
"449","760","Ningxia Hui"
"450","761","Uighur"
"451","761","Uygur"
"452","763","Hongkong"
"453","763","Xianggang"
"454","779","Santafé de Bogotá Distrito Capital"
"455","832","Santiago"
"456","941","Budějovický"
"457","941","Českobudějovický"
"458","942","Brnenský"
"459","946","Ostravský"
"460","950","Hlavi město Praha"
"461","950","Prag"
"462","950","Prague"
"463","950","Praha"
"464","951","Central Bohemia"
"465","951","Mittelböhmen"
"466","951","Stredocesky"
"467","953","Jihlavský"
"468","955","Brandenbourg"
"469","955","Brandenburgo"
"470","956","Berlín"
"471","958","Bavaria"
"472","958","Bavière"
"473","958","Bayern"
"474","959","Brème"
"475","960","Hesse"
"476","960","Hessen"
"477","961","Amburgo"
"478","961","Hambourg"
"479","961","Hamburgo"
"480","962","Mecklenburg-Vorpommern"
"481","963","Niedersachsen"
"482","964","Nordrhein-Westfalen"
"483","964","Rhénanie-Westphalie"
"484","965","Rheinland-Pfalz"
"485","965","Rhénanie-Palatinat"
"486","968","Sachsen"
"487","970","Thüringen"
"488","972","Ali Sabieh"
"489","972","Ali Sabih"
"490","973","Dikhil"
"491","973","Dikkil"
"492","974","Djibouti"
"493","975","Obock"
"494","975","Obok"
"495","976","Tadjoura"
"496","976","Tadjourah"
"497","976","Tajura"
"498","977","Nordjylland"
"499","978","Midtjylland"
"500","979","Syddanmark"
"501","980","Region Hovedstaden"
"502","981","SjÃ¦lland"
"503","994","Bahoruco"
"504","994","Baoruco"
"505","1024","Adrar"
"506","1025","Al Asnām"
"507","1025","Al Asnam"
"508","1025","Chelef"
"509","1025","Chelf"
"510","1025","Chlef"
"511","1025","Chlif"
"512","1025","Ech Cheliff"
"513","1025","El Asnam"
"514","1026","Laghouat"
"515","1027","Canrobert"
"516","1027","Oum el Bouaghi"
"517","1028","Batna"
"518","1029","Béjaïa"
"519","1029","Bejaïa"
"520","1029","Bougie"
"521","1030","Beskra"
"522","1030","Biskara"
"523","1030","Biskra"
"524","1031","Béchar"
"525","1032","Blida"
"526","1032","El Boulaida"
"527","1033","Bouira"
"528","1034","Fort-Laperrine"
"529","1034","Tamanghist"
"530","1034","Tamanrasset"
"531","1035","Tbessa"
"532","1035","Tébessa"
"533","1036","Tilimsen"
"534","1036","Tlemcen"
"535","1037","Tiaret"
"536","1037","Tihert"
"537","1038","Tizi-Ouzou"
"538","1039","Al-Jazair"
"539","1039","Al-Jazaʿir"
"540","1039","al-Jazāʿir"
"541","1039","Alger"
"542","1039","Algier"
"543","1039","El Djazair"
"544","1040","Djelfa"
"545","1040","El Djelfa"
"546","1041","Djidjel"
"547","1041","Djidjeli"
"548","1041","Djidjelli"
"549","1041","Jijel"
"550","1042","Sétif"
"551","1042","Setif"
"552","1042","Stif"
"553","1043","Saïda"
"554","1043","Saida"
"555","1044","Skikda"
"556","1045","Sidi bel Abbès"
"557","1046","Annaba"
"558","1046","Bona"
"559","1046","Bône"
"560","1047","Guelma"
"561","1048","Constantine"
"562","1048","Ksontina"
"563","1048","Qacentina"
"564","1048","Qoussantina"
"565","1048","Qusanţīnah"
"566","1049","al-Midyah"
"567","1049","Lemdiyya"
"568","1049","Médéa"
"569","1050","Mestghanem"
"570","1050","Mostaganem"
"571","1050","Mustaġānam"
"572","1050","Mustaghanam"
"573","1050","Mustaghanim"
"574","1051","Msila"
"575","1051","MʿSila"
"576","1052","Mascara"
"577","1052","Mouaskar"
"578","1053","Ouargla"
"579","1053","Wargla"
"580","1054","Oran"
"581","1054","Ouahran"
"582","1055","El Bayadh"
"583","1056","Illizi"
"584","1057","Bordj Bou Arreridj"
"585","1058","Boumerdès"
"586","1059","at-Tarf"
"587","1059","El Taref"
"588","1059","El Tarf"
"589","1060","Tindouf"
"590","1061","Tissemselt"
"591","1061","Tissemsilt"
"592","1062","El Ouâdi"
"593","1062","El Oued"
"594","1062","El Wad"
"595","1063","Khenchela"
"596","1063","Khenchla"
"597","1064","Souk Ahras"
"598","1064","Souq Ahras"
"599","1065","Tipaza"
"600","1066","Mila"
"601","1067","Aïn Defla"
"602","1067","Aïn Eddefla"
"603","1068","Naama"
"604","1069","Aïn Temouchent"
"605","1070","Ghardaïa"
"606","1071","Ghilizane"
"607","1071","Ighil Izane"
"608","1071","Relizane"
"609","1071","Rélizane"
"610","1097","Dagden"
"611","1097","Dagö"
"612","1099","Jogevamaa"
"613","1103","Polvamaa"
"614","1106","Ösel"
"615","1106","Saare"
"616","1110","Vorumaa"
"617","1111","al-Iskandariyah"
"618","1111","al-Iskandarīyah"
"619","1111","Alexandria"
"620","1111","Alexandria"
"621","1111","Alexandrie"
"622","1111","El Iskandariya"
"623","1112","Assouan"
"624","1112","Assuan"
"625","1112","Aswān"
"626","1113","Asiut"
"627","1113","Assiout"
"628","1113","Assiut"
"629","1113","Assyût"
"630","1113","Asyūţ"
"631","1113","Siut"
"632","1114","El Bahr el Ahmar"
"633","1115","al-Buh̨ayrah"
"634","1115","El Buhayra"
"635","1116","Banī Suwayf"
"636","1116","Bani Suwayf"
"637","1117","al-Qāhirah"
"638","1117","Caire"
"639","1117","Cairo"
"640","1117","El Qahira"
"641","1117","Kairo"
"642","1117","Le Caire-sur-Mer"
"643","1118","ad-Daqahliyah"
"644","1118","Dakahlia"
"645","1118","El Daqahliya"
"646","1119","Damiat"
"647","1119","Damiette"
"648","1119","Dumyāţ"
"649","1119","Dumyat"
"650","1120","al-Fayyūm"
"651","1120","al-Fayyum"
"652","1120","El Faiyūm"
"653","1121","al-Garbiyah"
"654","1121","al-Ġarbīyah"
"655","1121","El Gharbiya"
"656","1121","Gharbiya"
"657","1122","al-Jīzah"
"658","1122","El Giza"
"659","1122","Gise"
"660","1122","Giseh"
"661","1122","Giza"
"662","1122","Gîza"
"663","1122","Gizah"
"664","1122","Jiza"
"665","1122","Jizah"
"666","1124","al-Ismailiyah"
"667","1124","al-Ismāīlīyah"
"668","1124","El Ismailia"
"669","1124","Ismaʿiliya"
"670","1125","Sina al-Janūbīyah"
"671","1125","Sinai al-Janubiyah"
"672","1125","South Sinai"
"673","1126","al-Qalyubiyah"
"674","1126","El Qalubiya"
"675","1127","Kafr-aš-Šayẖ"
"676","1127","Kafr-ash-Shaykh"
"677","1128","Qina"
"678","1128","Qinā"
"679","1129","al-Uqşur"
"680","1129","al-Uqsur"
"681","1129","Louxor"
"682","1129","Luxor"
"683","1130","al-Minyā"
"684","1130","al-Minya"
"685","1130","El Minya"
"686","1130","Minia"
"687","1131","al-Minūfīyah"
"688","1131","al-Minufiyah"
"689","1131","El Minufiya"
"690","1131","Menufiya"
"691","1132","Matrah"
"692","1132","Matrūh"
"693","1133","Bur Said"
"694","1133","Būr Saʿīd"
"695","1134","Sawhaj"
"696","1134","Sawhāj"
"697","1134","Suhag"
"698","1134","Sūhaj"
"699","1134","Suhaj"
"700","1135","aš-Šarqīyah"
"701","1135","ash-Sharqiyah"
"702","1136","Šamāl Sīna"
"703","1136","Shamal Sina"
"704","1136","Sina aš-Šamālīyah"
"705","1136","Sinai ash-Shamaliyah"
"706","1138","as-Suways"
"707","1138","El Suweiz"
"708","1139","El Wadi el Jadid"
"709","1139","El Wadi el Jedid"
"710","1140","Bojador"
"711","1140","Boujdour"
"712","1140","Bu Jaydur"
"713","1140","Bujdur"
"714","1140","Cabo Bojador"
"715","1141","as-Samarah"
"716","1141","as-Smara"
"717","1141","Es-Smara"
"718","1141","Essemara"
"719","1141","Semara"
"720","1141","Smara"
"721","1142","Aaiún"
"722","1142","Al Ayūn"
"723","1142","al-Ayun"
"724","1142","Al-Uyun"
"725","1142","Ayūn"
"726","1142","El Aaiún"
"727","1142","La Youne"
"728","1142","Lâayoun"
"729","1142","Laayoune"
"730","1142","Laʿyoun"
"731","1143","Oued edh Dheheb"
"732","1143","Wad adh-Dhahab"
"733","1144","Ansabā"
"734","1145","Janūbī al Baḩrī al Aḩmar"
"735","1146","Al Janūbī"
"736","1147","Qāsh-Barkah"
"737","1148","Al Awsaţ"
"738","1149","Shimālī al Baḩrī al Aḩmar"
"739","1150","Alacant"
"740","1150","Alicante"
"741","1155","Asturien"
"742","1155","Asturies"
"743","1159","Bizkaia"
"744","1159","Vizcaya"
"745","1161","Corunna"
"746","1161","La Coruña"
"747","1163","Cantabrie"
"748","1163","Kantabrien"
"749","1165","Sebta"
"750","1171","Castellón"
"751","1177","Gerona"
"752","1182","Islas Baleares"
"753","1184","Lérida"
"754","1186","Logroño"
"755","1190","Murcie"
"756","1194","Nafarroa"
"757","1194","Navarra"
"758","1194","Navarre"
"759","1195","Navarre"
"760","1196","Oviedo"
"761","1197","Orense"
"762","1199","Baleares"
"763","1199","Illes Balears"
"764","1199","Islas Baleares"
"765","1201","Euskal Herria"
